date,Size USD
2025-03-07,19854275.48
2025-03-08,892083.51
2025-03-09,10419697.99
2025-03-10,16811790.68
2025-03-11,14016952.09
2025-03-12,18618139.15
2025-03-13,3285591.22
2025-03-14,8047187.16
2025-03-15,2355749.54
2025-03-16,10187921.51
2025-03-17,3592895.05
2025-03-18,4050655.47
2025-03-19,4598813.57
2025-03-20,1652257.93
2025-03-21,2543903.39
2025-03-22,971809.42
2025-03-23,2593519.67
2025-03-24,3017587.05
2025-03-25,5372519.77
2025-03-26,7597754.37
2025-03-27,3240279.46
2025-03-28,1483092.61
2025-03-29,3668151.83
2025-03-30,2850874.96
2025-03-31,2164772.4699999997
2025-04-01,704445.1900000001
2025-04-02,3867930.6
2025-04-03,8670233.15
2025-04-04,3835545.73
2025-04-05,1267564.22
2025-04-06,3551252.06
2025-04-07,14460253.14
2025-04-08,8869391.4
2025-04-09,28556806.47
2025-04-10,28741953.29
2025-04-11,11319327.07
2025-04-12,55914617.49
2025-04-13,14171154.79
2025-04-14,13079972.98
2025-04-15,20752168.24
2025-04-16,36502715.9
2025-04-17,2604551.51
2025-04-18,24610650.46
2025-04-19,32706462.71
2025-04-20,12126094.05
2025-04-21,42104054.84
2025-04-22,33753625.24
2025-04-23,30682443.79
2025-04-24,35088918.64
2025-04-25,27749455.78
2025-04-26,11948127.77
2025-04-27,487537.69
2025-04-28,26124921.49
2025-04-29,34089511.66
2025-04-30,12693878.85
2025-05-01,10720240.52
